ags-hyprpanel-git r602.0c2bcb7-1
appmenu-glib-translator-git 24.05.r6.g218bb4a-1
aquamarine-git 0.8.0.r4.ga19cf76-1
aylurs-gtk-shell-git 2.3.0.r1.g3ed9737-1
bitwarden-bin 2025.5.1-1
bitwarden-bin-debug 2025.5.1-1
bluetuith-git 0.2.3.r6.g1043bb8-1
btop-git 1.4.2.r1236.9bd618f-1
buku 5.0-1
catppuccin-cursors-mocha 2.0.0-1
catppuccin-gtk-theme-macchiato 1.0.3-1
catppuccin-gtk-theme-mocha 1.0.3-1
cloudflare-warp-bin 2025.4.943-1
cloudflare-warp-bin-debug 2025.4.943-1
cromite-bin 137.0.7151.104-1
feh-git 3.10.3.r5.g565bc67-1
figma-agent-linux-bin 0.3.2-1
figma-agent-linux-bin-debug 0.3.2-1
fzf-git 2:v0.62.0.r51.g3a211163-1
fzf-git-debug 2:v0.62.0.r51.g3a211163-1
google-chrome-beta 138.0.7204.35-1
gruvbox-plus-icon-theme-git 6.2.0.r274.g05db827-1
hyprcursor-git 0.1.12.r2.gac903e8-1
hyprgraphics-git 0.1.3.r1.g6075491-1
hypridle-git 0.1.6.r3.ga0037ac-1
hyprland-git 0.48.0.r150.gadbae0f-1
hyprland-meta-git 0.0.1-5
hyprland-qt-support-git 0.1.0.r8.g073c52b-1
hyprland-qtutils-git 0.1.4.r0.g4be1d32-1
hyprlang-git 0.6.1.r1.g397600c-1
hyprlock-git 0.8.2.r0.g6c64630-1
hyprpaper-git 0.7.4.r4.g05337a4-1
hyprpicker-git 0.4.5.r0.g980ebd4-1
hyprpolkitagent-git 0.1.2.r3.g352638e-1
hyprsunset-git 0.2.0.r0.g7b7339f-1
hyprsysteminfo-git 0.1.3.r2.g6769e50-1
hyprutils-git 0.7.0.r0.g05878d9-1
hyprwayland-scanner-git 0.4.4.r2.g206367a-1
libajantv2 1:17.1.0-2
libajantv2-debug 1:17.1.0-2
libastal-4-git r820.ac90f09-1
libastal-4-git-debug r820.ac90f09-1
libastal-apps-git r786.ca3190d-2
libastal-apps-git-debug r786.ca3190d-2
libastal-auth-git r732.cb1578a-1
libastal-battery-git r786.ca3190d-2
libastal-battery-git-debug r786.ca3190d-2
libastal-bluetooth-git r786.ca3190d-2
libastal-bluetooth-git-debug r786.ca3190d-2
libastal-cava-git r732.cb1578a-1
libastal-git r820.ac90f09-1
libastal-git-debug r820.ac90f09-1
libastal-gjs-git r772.07583de-1
libastal-greetd-git r786.ca3190d-2
libastal-greetd-git-debug r786.ca3190d-2
libastal-hyprland-git r786.ca3190d-2
libastal-hyprland-git-debug r786.ca3190d-2
libastal-io-git r820.ac90f09-1
libastal-io-git-debug r820.ac90f09-1
libastal-meta 1-8
libastal-mpris-git r786.ca3190d-2
libastal-mpris-git-debug r786.ca3190d-2
libastal-network-git r786.ca3190d-2
libastal-network-git-debug r786.ca3190d-2
libastal-notifd-git r786.ca3190d-2
libastal-notifd-git-debug r786.ca3190d-2
libastal-powerprofiles-git r786.ca3190d-2
libastal-powerprofiles-git-debug r786.ca3190d-2
libastal-river-git r732.cb1578a-1
libastal-tray-git r786.ca3190d-2
libastal-tray-git-debug r786.ca3190d-2
libastal-wireplumber-git r786.ca3190d-1
libastal-wireplumber-git-debug r786.ca3190d-1
libcava 0.10.3-3
localsend-bin 1.17.0-1
logseq-desktop-bin 0.10.12-1
notion-app-electron 4.11.1-1
notion-app-electron-debug 4.11.1-1
notion-app-enhanced-debug 2.0.18-1
oh-my-posh-git r4247.9abd87a1-1
papirus-folders-catppuccin-git r30.f83671d1-2
pyprland-git r1466.ead5bdb-1
qimgv 1.0.3+alpha+94+ge2675f13-1
qimgv-debug 1.0.3+alpha+94+ge2675f13-1
rofi-git 1.7.9.1.r192.gb29624e9-1
rofi-git-debug 1.7.9.1.r192.gb29624e9-1
spotify 1:1.2.63.394-1
swww-git-debug 0.10.3.r0.g44d3cdf-1
telegram-desktop-bin 5.15.4-1
telegram-desktop-bin-debug 5.15.4-1
thorium-browser-bin 130.0.6723.174-1
thunderbird-beta-bin 140.0b3-1
thunderbird-beta-bin-debug 140.0b3-1
tmux-git 10548_3.5.r270.g96244dd7-1
tmux-git-debug 10548_3.5.r270.g96244dd7-1
toipe 0.4.1-1
ttf-times-new-roman 2.0-3
typora-debug 1.10.8-1
visual-studio-code-bin 1.101.1-1
whatsapp-for-linux 1.7.0-1
xdg-desktop-portal-hyprland-git 1.3.9.r6.g76bbf1a-1
yay 12.5.0-1
z-library-electron 2.3.0-1
zathura-gruvbox-git r7.0b49904-1
zoxide-git 0.9.7.r12.g7691d7e-1
zsh-git 5.9.0.2.rtest.8.g7de89c957-1
